"GRID_5","PS_AREA_CODE","PROPORTION","PS_AREA","PS_AREA_NUMBER"
"6210085","IRS06ST",0.597848236560822,"9220060",4
"6210085","IRS10ST",0.402273207902908,"9200100",6
"6210090","IRS06ST",0.597660958766937,"9220060",4
"6210090","IRS10ST",0.402272969484329,"9200100",6
"6210095","IRS06ST",0.597769260406494,"9220060",4
"6210095","IRS10ST",0.40229520201683,"9200100",6
"6210100","IRS06ST",0.597808539867401,"9220060",4
"6210100","IRS10ST",0.40228545665741,"9200100",6
"6210105","IRS06ST",0.598102509975433,"9220060",4
"6210105","IRS10ST",0.4019975066185,"9200100",6
"6210110","IRS06ST",0.597780108451843,"9220060",4
"6210110","IRS10ST",0.402280062437057,"9200100",6
"6210115","IRS06ST",0.598015964031219,"9220060",4
"6210115","IRS10ST",0.402258038520813,"9200100",6
"6210120","IRS06ST",0.611523509025574,"9220060",4
"6210120","IRS10ST",0.388369649648666,"9200100",6
"6210125","IRS06ST",0.540793180465698,"9220060",4
"6210125","IRS10ST",0.459282219409943,"9200100",6
"6215030","IRS04ST",0.999964892864227,"9210020",3
"6215035","IRS04ST",0.99999862909317,"9210020",3
"6215040","IRS04ST",0.999996721744537,"9210020",3
"6215045","IRS04ST",0.363286912441254,"9210020",3
"6215045","IRS06ST",0.630630970001221,"9220060",4
"6215050","IRS06ST",0.999968886375427,"9220060",4
"6215055","IRS06ST",1,"9220060",4
"6215060","IRS06ST",1,"9220060",4
"6215065","IRS06ST",1,"9220060",4
"6215070","IRS06ST",1,"9220060",4
"6215075","IRS06ST",1,"9220060",4
"6215080","IRS06ST",1,"9220060",4
"6215085","IRS06ST",1,"9220060",4
"6215090","IRS06ST",1,"9220060",4
"6215095","IRS06ST",1,"9220060",4
"6215100","IRS06ST",1,"9220060",4
"6215105","IRS06ST",1,"9220060",4
"6215110","IRS06ST",1,"9220060",4
"6215115","IRS06ST",0.999991774559021,"9220060",4
"6215120","IRS06ST",0.999819874763489,"9220060",4
"6215125","IRS06ST",0.992970407009125,"9220060",4
"6220030","IRS04ST",0.999959766864777,"9210020",3
"6220035","IRS04ST",0.999999225139618,"9210020",3
"6220040","IRS04ST",0.999996364116669,"9210020",3
"6220045","IRS06ST",0.999515295028687,"9220060",4
"6220050","IRS06ST",1,"9220060",4
"6220055","IRS06ST",1,"9220060",4
"6220060","IRS06ST",1,"9220060",4
"6220065","IRS06ST",1,"9220060",4
