"GRID_1","GRID_5","PS_AREA_CODE","PS_AREA","PS_AREA_NUMBER"
"5102074","6100070","IRS05ST","9200080",5
"5102075","6100075","IRS05ST","9200080",5
"5102076","6100075","IRS05ST","9200080",5
"5102077","6100075","IRS05ST","9200080",5
"5102078","6100075","IRS05ST","9200080",5
"5102079","6100075","IRS05ST","9200080",5
"5102080","6100080","IRS10ST","9200100",6
"5102081","6100080","IRS10ST","9200100",6
"5102082","6100080","IRS10ST","9200100",6
"5102083","6100080","IRS10ST","9200100",6
"5102084","6100080","IRS10ST","9200100",6
"5102085","6100085","IRS10ST","9200100",6
"5102086","6100085","IRS10ST","9200100",6
"5102087","6100085","IRS10ST","9200100",6
"5102088","6100085","IRS10ST","9200100",6
"5102089","6100085","IRS10ST","9200100",6
"5102090","6100090","IRS10ST","9200100",6
"5102091","6100090","IRS10ST","9200100",6
"5102092","6100090","IRS10ST","9200100",6
"5102093","6100090","IRS10ST","9200100",6
"5102094","6100090","IRS10ST","9200100",6
"5102095","6100095","IRS10ST","9200100",6
"5102096","6100095","IRS10ST","9200100",6
"5102097","6100095","IRS10ST","9200100",6
"5102098","6100095","IRS10ST","9200100",6
"5102100","6100100","IRS09ST","9100100",7
"5102101","6100100","IRS09ST","9100100",7
"5102102",NA,"IRS09ST","9100100",7
"5103046","6100045","IRS01ST","9100040",0
"5103047","6100045","IRS01ST","9100040",0
"5103048","6100045","IRS01ST","9100040",0
"5103049","6100045","IRS01ST","9100040",0
"5103050","6100050","IRS01ST","9100040",0
"5103051","6100050","IRS01ST","9100040",0
"5103052","6100050","IRS01ST","9100040",0
"5103053","6100050","IRS01ST","9100040",0
"5103054","6100050","IRS01ST","9100040",0
"5103055","6100055","IRS01ST","9100040",0
"5103056","6100055","IRS01ST","9100040",0
"5103057","6100055","IRS01ST","9100040",0
"5103058","6100055","IRS01ST","9100040",0
"5103059","6100055","IRS01ST","9100040",0
"5103060","6100060","IRS01ST","9100040",0
"5103061","6100060","IRS01ST","9100040",0
"5103062","6100060","IRS01ST","9100040",0
"5103063","6100060","IRS01ST","9100040",0
"5103064","6100060","IRS01ST","9100040",0
"5103065","6100065","IRS01ST","9100040",0
"5103066","6100065","IRS01ST","9100040",0
"5103067","6100065","IRS01ST","9100040",0
"5103068","6100065","IRS01ST","9100040",0
"5103069","6100065","IRS01ST","9100040",0
"5103070","6100070","IRS05ST","9200080",5
"5103071","6100070","IRS05ST","9200080",5
"5103072","6100070","IRS05ST","9200080",5
"5103073","6100070","IRS05ST","9200080",5
"5103074","6100070","IRS05ST","9200080",5
"5103075","6100075","IRS05ST","9200080",5
"5103076","6100075","IRS05ST","9200080",5
"5103077","6100075","IRS05ST","9200080",5
"5103078","6100075","IRS05ST","9200080",5
"5103079","6100075","IRS05ST","9200080",5
"5103080","6100080","IRS10ST","9200100",6
"5103081","6100080","IRS10ST","9200100",6
"5103082","6100080","IRS10ST","9200100",6
"5103083","6100080","IRS10ST","9200100",6
"5103084","6100080","IRS10ST","9200100",6
"5103085","6100085","IRS10ST","9200100",6
"5103086","6100085","IRS10ST","9200100",6
"5103087","6100085","IRS10ST","9200100",6
"5103088","6100085","IRS10ST","9200100",6
"5103089","6100085","IRS10ST","9200100",6
"5103090","6100090","IRS10ST","9200100",6
"5103091","6100090","IRS10ST","9200100",6
"5103092","6100090","IRS10ST","9200100",6
"5103093","6100090","IRS10ST","9200100",6
"5103094","6100090","IRS10ST","9200100",6
"5103095","6100095","IRS10ST","9200100",6
"5103096","6100095","IRS10ST","9200100",6
"5103097","6100095","IRS10ST","9200100",6
"5103100","6100100","IRS09ST","9100100",7
"5103101","6100100","IRS09ST","9100100",7
"5104047","6100045","IRS01ST","9100040",0
"5104048","6100045","IRS01ST","9100040",0
"5104049","6100045","IRS01ST","9100040",0
"5104050","6100050","IRS01ST","9100040",0
"5104051","6100050","IRS01ST","9100040",0
"5104052","6100050","IRS01ST","9100040",0
"5104053","6100050","IRS01ST","9100040",0
"5104054","6100050","IRS01ST","9100040",0
"5104055","6100055","IRS01ST","9100040",0
"5104056","6100055","IRS01ST","9100040",0
"5104057","6100055","IRS01ST","9100040",0
"5104058","6100055","IRS01ST","9100040",0
"5104059","6100055","IRS01ST","9100040",0
"5104060","6100060","IRS01ST","9100040",0
"5104061","6100060","IRS01ST","9100040",0
"5104062","6100060","IRS01ST","9100040",0
"5104063","6100060","IRS01ST","9100040",0
"5104064","6100060","IRS01ST","9100040",0
"5104065","6100065","IRS01ST","9100040",0
"5104066","6100065","IRS01ST","9100040",0
"5104067","6100065","IRS01ST","9100040",0
"5104068","6100065","IRS01ST","9100040",0
"5104069","6100065","IRS01ST","9100040",0
"5104070","6100070","IRS05ST","9200080",5
"5104071","6100070","IRS05ST","9200080",5
"5104072","6100070","IRS05ST","9200080",5
"5104073","6100070","IRS05ST","9200080",5
"5104074","6100070","IRS05ST","9200080",5
"5104075","6100075","IRS05ST","9200080",5
"5104076","6100075","IRS05ST","9200080",5
"5104077","6100075","IRS05ST","9200080",5
"5104078","6100075","IRS05ST","9200080",5
"5104079","6100075","IRS05ST","9200080",5
"5104080","6100080","IRS10ST","9200100",6
"5104081","6100080","IRS10ST","9200100",6
"5104082","6100080","IRS10ST","9200100",6
"5104083","6100080","IRS10ST","9200100",6
"5104084","6100080","IRS10ST","9200100",6
"5104085","6100085","IRS10ST","9200100",6
"5104086","6100085","IRS10ST","9200100",6
"5104087","6100085","IRS10ST","9200100",6
"5104088","6100085","IRS10ST","9200100",6
"5104089","6100085","IRS10ST","9200100",6
"5104090","6100090","IRS10ST","9200100",6
"5104091","6100090","IRS10ST","9200100",6
"5104092","6100090","IRS10ST","9200100",6
"5104093","6100090","IRS10ST","9200100",6
"5104094","6100090","IRS10ST","9200100",6
"5104095","6100095","IRS10ST","9200100",6
"5104096","6100095","IRS10ST","9200100",6
"5104100","6100100","IRS09ST","9100100",7
"5105048","6105045","IRS01ST","9100040",0
"5105049","6105045","IRS01ST","9100040",0
"5105050","6105050","IRS01ST","9100040",0
"5105051","6105050","IRS01ST","9100040",0
"5105052","6105050","IRS01ST","9100040",0
"5105053","6105050","IRS01ST","9100040",0
"5105054","6105050","IRS01ST","9100040",0
"5105055","6105055","IRS01ST","9100040",0
"5105056","6105055","IRS01ST","9100040",0
"5105057","6105055","IRS01ST","9100040",0
"5105058","6105055","IRS01ST","9100040",0
"5105059","6105055","IRS01ST","9100040",0
"5105060","6105060","IRS01ST","9100040",0
"5105061","6105060","IRS01ST","9100040",0
"5105062","6105060","IRS01ST","9100040",0
"5105063","6105060","IRS01ST","9100040",0
"5105064","6105060","IRS01ST","9100040",0
"5105065","6105065","IRS01ST","9100040",0
"5105066","6105065","IRS01ST","9100040",0
"5105067","6105065","IRS01ST","9100040",0
"5105068","6105065","IRS01ST","9100040",0
"5105069","6105065","IRS01ST","9100040",0
"5105070","6105070","IRS08ST","9100080",8
"5105071","6105070","IRS08ST","9100080",8
"5105072","6105070","IRS08ST","9100080",8
"5105073","6105070","IRS08ST","9100080",8
"5105074","6105070","IRS08ST","9100080",8
"5105075","6105075","IRS08ST","9100080",8
"5105076","6105075","IRS08ST","9100080",8
"5105077","6105075","IRS08ST","9100080",8
"5105078","6105075","IRS08ST","9100080",8
"5105079","6105075","IRS08ST","9100080",8
"5105080","6105080","IRS09ST","9100100",7
"5105081","6105080","IRS09ST","9100100",7
"5105082","6105080","IRS09ST","9100100",7
"5105083","6105080","IRS09ST","9100100",7
"5105083","6105080","IRS10ST","9200100",6
"5105084","6105080","IRS09ST","9100100",7
"5105084","6105080","IRS10ST","9200100",6
"5105085","6105085","IRS09ST","9100100",7
"5105085","6105085","IRS10ST","9200100",6
"5105086","6105085","IRS09ST","9100100",7
"5105086","6105085","IRS10ST","9200100",6
"5105087","6105085","IRS09ST","9100100",7
"5105087","6105085","IRS10ST","9200100",6
"5105088","6105085","IRS09ST","9100100",7
"5105089","6105085","IRS09ST","9100100",7
"5105090","6105090","IRS09ST","9100100",7
"5105091","6105090","IRS09ST","9100100",7
"5105091","6105090","IRS10ST","9200100",6
"5105092","6105090","IRS09ST","9100100",7
"5105093","6105090","IRS09ST","9100100",7
"5105094","6105090","IRS09ST","9100100",7
"5105095","6105095","IRS09ST","9100100",7
"5105096","6105095","IRS09ST","9100100",7
"5105097","6105095","IRS09ST","9100100",7
"5105098","6105095","IRS09ST","9100100",7
"5105099","6105095","IRS09ST","9100100",7
"5105100","6105100","IRS09ST","9100100",7
"5106048","6105045","IRS01ST","9100040",0
"5106049","6105045","IRS01ST","9100040",0
"5106050","6105050","IRS01ST","9100040",0
"5106051","6105050","IRS01ST","9100040",0
"5106052","6105050","IRS01ST","9100040",0
"5106053","6105050","IRS01ST","9100040",0
"5106054","6105050","IRS01ST","9100040",0
"5106055","6105055","IRS01ST","9100040",0
"5106056","6105055","IRS01ST","9100040",0
"5106057","6105055","IRS01ST","9100040",0
"5106058","6105055","IRS01ST","9100040",0
"5106059","6105055","IRS01ST","9100040",0
"5106060","6105060","IRS01ST","9100040",0
"5106061","6105060","IRS01ST","9100040",0
"5106062","6105060","IRS01ST","9100040",0
"5106063","6105060","IRS01ST","9100040",0
"5106064","6105060","IRS01ST","9100040",0
"5106065","6105065","IRS01ST","9100040",0
"5106066","6105065","IRS01ST","9100040",0
"5106067","6105065","IRS01ST","9100040",0
"5106068","6105065","IRS01ST","9100040",0
"5106069","6105065","IRS01ST","9100040",0
"5106070","6105070","IRS08ST","9100080",8
"5106071","6105070","IRS08ST","9100080",8
"5106072","6105070","IRS08ST","9100080",8
"5106073","6105070","IRS08ST","9100080",8
"5106074","6105070","IRS08ST","9100080",8
"5106075","6105075","IRS08ST","9100080",8
"5106076","6105075","IRS08ST","9100080",8
"5106077","6105075","IRS08ST","9100080",8
"5106078","6105075","IRS08ST","9100080",8
"5106079","6105075","IRS08ST","9100080",8
"5106080","6105080","IRS09ST","9100100",7
"5106081","6105080","IRS09ST","9100100",7
"5106082","6105080","IRS09ST","9100100",7
"5106083","6105080","IRS09ST","9100100",7
"5106084","6105080","IRS09ST","9100100",7
"5106085","6105085","IRS09ST","9100100",7
"5106086","6105085","IRS09ST","9100100",7
"5106087","6105085","IRS09ST","9100100",7
"5106088","6105085","IRS09ST","9100100",7
"5106089","6105085","IRS09ST","9100100",7
"5106090","6105090","IRS09ST","9100100",7
"5106091","6105090","IRS09ST","9100100",7
"5106092","6105090","IRS09ST","9100100",7
"5106093","6105090","IRS09ST","9100100",7
"5106094","6105090","IRS09ST","9100100",7
"5106095","6105095","IRS09ST","9100100",7
"5106096","6105095","IRS09ST","9100100",7
"5106097","6105095","IRS09ST","9100100",7
"5106098","6105095","IRS09ST","9100100",7
"5106099","6105095","IRS09ST","9100100",7
"5106100","6105100","IRS09ST","9100100",7
"5107049","6105045","IRS01ST","9100040",0
"5107050","6105050","IRS01ST","9100040",0
"5107051","6105050","IRS01ST","9100040",0
"5107052","6105050","IRS01ST","9100040",0
"5107053","6105050","IRS01ST","9100040",0
"5107054","6105050","IRS01ST","9100040",0
"5107055","6105055","IRS01ST","9100040",0
"5107056","6105055","IRS01ST","9100040",0
"5107057","6105055","IRS01ST","9100040",0
"5107058","6105055","IRS01ST","9100040",0
"5107059","6105055","IRS01ST","9100040",0
"5107060","6105060","IRS01ST","9100040",0
"5107061","6105060","IRS01ST","9100040",0
"5107062","6105060","IRS01ST","9100040",0
"5107063","6105060","IRS01ST","9100040",0
"5107064","6105060","IRS01ST","9100040",0
"5107065","6105065","IRS01ST","9100040",0
"5107066","6105065","IRS01ST","9100040",0
"5107067","6105065","IRS01ST","9100040",0
"5107068","6105065","IRS01ST","9100040",0
"5107069","6105065","IRS01ST","9100040",0
"5107070","6105070","IRS08ST","9100080",8
"5107071","6105070","IRS08ST","9100080",8
"5107072","6105070","IRS08ST","9100080",8
"5107073","6105070","IRS08ST","9100080",8
"5107074","6105070","IRS08ST","9100080",8
"5107075","6105075","IRS08ST","9100080",8
"5107076","6105075","IRS08ST","9100080",8
"5107077","6105075","IRS08ST","9100080",8
"5107078","6105075","IRS08ST","9100080",8
"5107079","6105075","IRS08ST","9100080",8
"5107081","6105080","IRS09ST","9100100",7
"5107082","6105080","IRS09ST","9100100",7
"5107083","6105080","IRS09ST","9100100",7
"5107084","6105080","IRS09ST","9100100",7
"5107085","6105085","IRS09ST","9100100",7
"5107086","6105085","IRS09ST","9100100",7
"5107087","6105085","IRS09ST","9100100",7
"5107088","6105085","IRS09ST","9100100",7
"5107089","6105085","IRS09ST","9100100",7
"5107090","6105090","IRS09ST","9100100",7
"5107091","6105090","IRS09ST","9100100",7
