FLEET,GEAR_CODE,SCHOOL_TYPE_CODE,FISHERY,A1
MOZ,GILL,UNCL,OTHER,A1
MOZ,HAND,UNCL,OTHER,A1
MOZ  ,PSS,UNCL,OTHER,A1
MOZ,SPOR,UNCL,OTHER,A1
MOZ,TROL,UNCL,OTHER,A1
MUS,ELL,UNCL,OTHER,A1
MUS,FLL,UNCL,OTHER,A1
MUS,HAND,UNCL,OTHER,A1
MUS,LL,UNCL,OTHER,A1
MUS,PS,FS,OTHER,A1
MUS,PS,LS,OTHER,A1
MUS,PS,UNCL,OTHER,A1
MUS,PSOB,UNCL,OTHER,A1
MUS,SPOR,UNCL,OTHER,A1
MUS,TROL,UNCL,OTHER,A1
MYS,FLL,UNCL,OTHER,A1
MYS,GILL,UNCL,OTHER,A1
MYS,PS,FS,OTHER,A1
MYS,PS,LS,OTHER,A1
MYS,PSS,UNCL,OTHER,A1
MYS,TRAW,UNCL,OTHER,A1
MYS,TROL,UNCL,OTHER,A1
NEICE,FLL,UNCL,OTHER,A1
NEI-DFRZ,ELL,UNCL,OTHER,A1
NEI-DFRZ,LL,UNCL,OTHER,A1
NEIFR,ELL,UNCL,OTHER,A1
NEIFR,LL,UNCL,OTHER,A1
NEI-ICE,FLL,UNCL,OTHER,A1
NEI-OTH,PS,FS,PSFS,A1
NEI-OTH,PS,LS,PSLS,A1
NEIPS,PS,FS,PSFS,A1
NEIPS,PS,LS,PSLS,A1
NEISU,PS,FS,PSFS,A1
NEISU,PS,LS,PSLS,A1
NEI-SUN,PS,FS,OTHER,A1
NEI-SUN,PS,LS,OTHER,A1
OMN,BS,UNCL,OTHER,A1
OMN,FN,UNCL,OTHER,A1
OMN,GILL,UNCL,OTHER,A1
OMN,GIOF,UNCL,OTHER,A1
OMN,HAND,UNCL,OTHER,A1
OMN,TRAP,UNCL,OTHER,A1
OMN,TROL,UNCL,OTHER,A1
PAK,GILL,UNCL,OTHER,A1
PHL,LL,UNCL,OTHER,A1
PHL,PS,LS,PSLS,A1
PRT,ELL,UNCL,OTHER,A1
QAT,GILL,UNCL,OTHER,A1
SEN,ELL,UNCL,OTHER,A1
SUN,GILL,UNCL,OTHER,A1
SUN,LL,UNCL,OTHER,A1
SUN,PS,FS,OTHER,A1
SUN,PS,LS,OTHER,A1
SUN,PSS,UNCL,OTHER,A1
SYC,BB,UNCL,BB,A1
SYC,GILL,UNCL,OTHER,A1
SYC,HAND,UNCL,OTHER,A1
SYC,LL,UNCL,OTHER,A1
SYC,PS,FS,PSFS,A1
SYC,PS,LS,PSLS,A1
SYC,PS,UNCL,PSLS,A1
SYC,TROL,UNCL,OTHER,A1
THA,FLL,UNCL,OTHER,A1
THA,LL,UNCL,OTHER,A1
THA,PS,FS,OTHER,A1
THA,PS,LS,OTHER,A1
THA,PSS,UNCL,OTHER,A1
TMP,GILL,UNCL,OTHER,A1
TWN,FLL,UNCL,OTHER,A1
TWN,GILL,UNCL,OTHER,A1
TWN,LL,UNCL,OTHER,A1
TWN,LLOB,UNCL,OTHER,A1
TZA,BB,UNCL,OTHER,A1
TZA,ELL,UNCL,OTHER,A1
TZA,FLL,UNCL,OTHER,A1
TZA,GILL,UNCL,OTHER,A1
TZA,HAND,UNCL,OTHER,A1
TZA  ,LL,UNCL,OTHER,A1
TZA,OTHER,UNCL,OTHER,A1
TZA,PSS,UNCL,OTHER,A1
TZA,TROL,UNCL,OTHER,A1
YEM,GILL,UNCL,OTHER,A1
YEM,HAND,UNCL,OTHER,A1
YEM,TROL,UNCL,OTHER,A1
ZAF,ELL,UNCL,OTHER,A1
ZAF,GILL,UNCL,OTHER,A1
ZAF,LL,UNCL,OTHER,A1
ZAF,SPOR,UNCL,OTHER,A1
ZAF,TROL,UNCL,OTHER,A1
